modelNumber,idNumber,Rating
"Panasonic Toughbook CF-53 14"" Notebook - Intel Core i5-4310U 2.0 GHz, 16GB Memory, 512GB SSD, Windows 7 Pro + Windows 8.1 Pro","['amazon', 789L]",1
R7-372T-573H,"['amazon', 215L]",1
X540SA-XX383D,"['flipkart', 198L]",1
"SONY PDR11037, Playstation4 Dualshock4 Wireless Controller (Jet Black)","['amazon', 432L]",1
D430,"['amazon', 277L, 'amazon', 363L]",2
GS63VR 7RG-038CA,"['bestbuy', 1348L]",1
C301SA-DB04,"['amazon', 7L]",1
W0R81UT#ABA,"['newEgg', 210L]",1
Everki Titan Checkpoint Laptop Backpack 18.4in,"['walmart', 46L]",1
PLTNB1432,"['staples', 367L, 'source', 86L]",3
UM.WD1AA.002,"['bestbuy', 387L]",1
"ASUS ROG Strix GL753VE Premium 17.3'' Business and Gaming Laptop PC ( Intel i7 Quad Core, 16GB RAM, 1TB HDD + 256GB SSD, 17.3 Inch FHD (1920X1080), NVIDIA GeForce 1050Ti, DVD Burner, WiFi, Win 10)","['newEgg', 848L]",1
DAHD18773,"['bestbuy', 1456L]",1
ES1-533-C7M8,"['source', 1L]",1
HP Notebook 17-y080ca,"['walmart', 8L, 'walmart', 37L, 'walmart', 70L, 'walmart', 164L, 'walmart', 224L]",2
SF314-51-57CP,"['amazon', 441L, 'newEgg', 46L]",3
W0S60UT#ABA,"['amazon', 728L]",1
PT272C-05J00W,"['source', 118L]",1
NX.GHHAA.005,"['amazon', 134L]",1
"Lenovo ThinkPad T430s Ultraook Intel i7 2.9GHz 4GB 180GB SSD 14"" NVS 5200M 1GB","['newEgg', 2216L]",1
"Lenovo ThinkPad E470 20H1006DUS 14"" LCD Notebook - Intel Core i5 (7th Gen) i5-7200U Dual-core (2 Core) 2.50 GHz - 8 GB DDR4 SDRAM - 500 GB HDD - Windows 10 Pro 64-bit (English) - 1920 x 1080 - In-p...","['newEgg', 77L, 'newEgg', 104L]",2
6460B,"['bestbuy', 143L]",1
X551MAV-EB01-B,"['newEgg', 224L]",1
E5-774G-582T,"['bestbuy', 164L]",1
CS4-00001,"['bestbuy', 126L]",1
20EN001EUS,"['source', 82L]",1
"Dell Latitude 14 5000 E5470 14\"" Notebook - Intel Core i5 (6th Gen) i5-6200U Dual-core (2 Core) 2.30 GHz - Black","['newEgg', 2045L]",1
MPXQ2LL/A,"['bestbuy', 41L, 'bestbuy', 121L, 'amazon', 997L]",3
X403NA-RS91-CB,"['source', 53L, 'source', 76L]",2
LT666W,"['snapdeal', 119L]",1
NX.EF3AA.005,"['amazon', 322L]",1
"Lenovo ThinkPad P50 20EN0013US 15.6\"" (In-plane Switching (IPS) Technology) Notebook - Intel Core i7 i7-6700HQ Quad-core (4 Core) 2.60 GHz","['newEgg', 809L]",1
X7V65UA#ABL,"['amazon', 269L]",1
MAIN-61788,"['amazon', 110L]",1
N580VD-BB71-CB,"['bestbuy', 297L]",1
NX.EF3AA.003,"['amazon', 455L]",1
NX.GM8AA.004,"['bestbuy', 820L]",1
F555LA-AB31,"['amazon', 8L, 'staples', 128L, 'source', 55L, 'source', 79L]",3
NX.EF3AA.008,"['bestbuy', 431L]",1
310 15 (80TV00BGUS),"['newEgg', 4L]",1
NX.GM8AA.002,"['bestbuy', 1207L]",1
PS571C-0GC03Q,"['source', 20L]",1
thinkpad x1 carbon,"['bestbuy', 179L]",1
PROBOOK 640 G1,"['staples', 43L]",1
17-y053ca,"['newEgg', 135L]",1
X7E2-P775DM3-128,"['bestbuy', 968L]",1
80TL008PUS,"['bestbuy', 151L, 'source', 88L]",3
LENOVO FR TOPSELLER N42 N3060 14IN 4GB,"['amazon', 648L]",1
PT463C-0CC060,"['staples', 338L]",1
CB5-571-C4G4,"['amazon', 540L]",1
"ThinkPad Laptop T Series T560 (20FH001TUS) Intel Core i7 6th Gen 6600U (2.60 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 15.6\"" Windows 7 Professional 64-Bit / Windows 10 Pro Downgrade","['newEgg', 808L, 'newEgg', 1621L]",2
V1H22UT#ABL,"['newEgg', 598L]",1
80XM0000US,"['source', 199L]",1
CX62 7QL-070CA,"['bestbuy', 339L, 'staples', 90L]",3
X200LA-DH31T,"['newEgg', 1013L]",1
"Lenovo ThinkPad E570 20H50043US 15.6"" 16:9 Notebook - 1920 x 1080 - In-plane Switching (IPS) Technology - Intel Core i7 (7th Gen) i7-7500U Dual-core (2 Core) 2.70 GHz - 8 GB DDR4 SDRAM - 500 GB HDD...","['newEgg', 177L, 'newEgg', 2492L]",2
CS4-00009,"['bestbuy', 518L]",1
Folio G1 (W0S06UT#ABA),"['newEgg', 143L]",1
14M-BA011DX,"['amazon', 445L]",1
ONE 14 Z1402,"['snapdeal', 209L]",1
GL553VE-FY127T,"['flipkart', 87L]",1
GL702VM-DS74,"['bestbuy', 1222L, 'amazon', 58L]",3
AW17R4-7307SLV-PCA,"['bestbuy', 237L]",1
"HIDevolution ASUS ROG Strix GL503VD-DB71-HID5 w/ FREE IC Diamond on CPU+GPU - Optimal System Temperatures 15.6"" Ultimate Gaming Laptop (PCIE 1T+1T SSHD/16G RAM/FHD/7700HQ/1050)","['amazon', 1142L]",1
"HP ProBook 650 G2 15.6"" Notebook - Intel Core i5 (6th Gen) i5-6300U Dual-core (2 Core) 2.40 GHz - 8 GB DDR4 SDRAM RAM - 500 GB HDD - DVD-Writer - Intel HD Graphics 520 DDR4 SDRAM - Windows 10 Pro","['newEgg', 2504L]",1
"Everki Studio Slim 14.1"" Laptop Backpack","['walmart', 191L]",1
T460 (20FN002JUS),"['newEgg', 72L, 'newEgg', 2058L, 'newEgg', 2518L]",2
"DELL 14"" I5 7200U 8GB 500GB","['newEgg', 1284L]",1
"Acer Aspire E 15.6"" Laptop & Microsoft Office 365 Personal - English","['bestbuy', 873L, 'bestbuy', 1037L]",2
Thinkpad T440p,"['amazon', 217L]",1
G752VY-DH78K,"['newEgg', 76L]",1
Dell Latitude E7470 Business Ultrabook 14 Inch Full HD 1080p Intel 6th Gen i5-6300U 8GB DDR4 256GB SSD Windows 10 Pro,"['amazon', 674L]",1
SMART BUY 1040 G3 I5-6200U 2.3G 8GB 256GB SSD 14IN BT W7 64BIT,"['newEgg', 1643L]",1
"ASUS Zenbook UX303LN-QB71T-CB Ultrabook Intel Core i7 4510U (2.00 GHz) 256 GB SSD NVIDIA GeForce 840M 2 GB GDDR3 13.3"" 3K Touchscreen Windows 8.1 64-Bit","['newEgg', 1981L]",1
CB3-111-C4GD,"['amazon', 310L]",1
"Lenovo V110-15ISK 80TL008PUS 15.6"" (Twisted nematic (TN)) Notebook - Intel Celeron 3855U Dual-core (2 Core) 1.60 GHz","['newEgg', 221L]",1
Acer (E5-571-54R4) 15.6 WINDOWS 8.1 CORE I5-4210U 8GB 1TB HDD,"['newEgg', 2133L]",1
RR9J4,"['bestbuy', 1491L]",1
GL502VS-RB71-CB,"['bestbuy', 530L]",1
GP62 7RDX,"['flipkart', 20L]",1
PT15AC-01Q010,"['amazon', 874L]",1
"Acer Aspire R5-471T-57RD 14"" Touchscreen LED Notebook - Intel Core i5 i5-6200U Dual-core (2 Core) 2.30 GHz","['newEgg', 1285L]",1
20H50043CA,"['bestbuy', 1474L]",1
"HP Pavilion 15t Gaming and Business Power FHD Laptop ( Intel i7 Quad Core, 16GB, NVIDIA GeForce 1050, 1TB HDD + 512GB SSD, 15.6 Inch Full HD (1920 x 1080) , Win 10)","['newEgg', 1593L]",1
HP 17.3,"['amazon', 918L]",1
PT577C-04M020,"['source', 108L]",1
X553SAQP2CB,"['staples', 261L]",1
E5-575-33BM,"['amazon', 118L]",1
15-AU620TX,"['snapdeal', 30L]",1
PT583C-041009,"['source', 203L]",1
PT365C-09X033,"['bestbuy', 1352L]",1
20FB002RUS,"['newEgg', 201L, 'newEgg', 701L, 'newEgg', 2007L, 'newEgg', 2073L, 'newEgg', 2420L]",2
8560P,"['bestbuy', 228L]",1
T440S,"['source', 173L]",1
"Acer Swift SF314-51-52DH 14"" LCD Notebook - Intel Core i5 i5-6200U Dual-core (2 Core) 2.30 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Home 64-bit - 1920 x 1080 - In-plane Switching (IPS) Tec","['newEgg', 157L]",1
N5S53UA#ABL,"['amazon', 431L]",1
Com-N350DV-111,"['bestbuy', 978L]",1
Com-N350DV-110,"['bestbuy', 979L]",1
NX.GC1AA.003,"['bestbuy', 382L]",1
AY503TX,"['snapdeal', 62L]",1
T4M33UT#ABL,"['amazon', 714L]",1
NX.GC1AA.004,"['bestbuy', 348L]",1
T4M33UT#ABA,"['amazon', 699L]",1
GL502VM-BB71-CB,"['bestbuy', 366L]",1
"ASUS ROG Strix GL753VE Premium 17.3'' Business and Gaming Laptop PC ( Intel i7 Quad Core, 16GB RAM, 2TB SSD, 17.3 Inch FHD (1920X1080), NVIDIA GeForce 1050Ti, DVD Burner, WiFi, Win 10 Pro)","['newEgg', 477L]",1
"HP 15z Touchscreen 15.6'' High Performance Laptop PC (AMD A6 Quad Core, 15.6 inch HD Touchscreen, 4GB RAM, 500GB HDD, DVD Burner, Bluetooth, Win10)-Silver","['newEgg', 677L]",1
"Lenovo ThinkPad P50 20EN001SUS 15.6"" (In-plane Switching (IPS) Technology) Notebook - Intel Xeon E3-1505M v5 Quad-core (4 Core) 2.80 GHz","['newEgg', 253L, 'newEgg', 797L]",2
MC240LL/A C,"['newEgg', 1931L]",1
MC240LL/A B,"['newEgg', 1789L]",1
15-AS191MS,"['amazon', 340L]",1
14-ak010nr,"['amazon', 307L]",1
S510UA-DB71,"['bestbuy', 401L, 'amazon', 21L, 'newEgg', 6L]",3
DUAL-GTX1060-O6G,"['amazon', 29L]",1
PT15AC-001010,"['amazon', 814L]",1
PSCLUC-009001,"['staples', 101L]",1
Z2B10UT#ABA,"['amazon', 780L]",1
V2W30UTABL,"['bestbuy', 108L]",1
W8X27UA#ABL,"['amazon', 55L]",1
"HP ProBook 640 G1 Laptop: Intel Core i5 (4th Generation), 2.60GHz, 8GB RAM, 500 GB Hard Drive, Webcam,wifi, Win 10 Pro","['amazon', 101L]",1
"Lenovo ThinkPad X1 Carbon 20FB002LUS 14"" (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i7 (6th Gen) i7-6600U Dual-core (2 Core) 2.60 GHz - Business Black","['newEgg', 425L]",1
HP 15 AY008tx,"['snapdeal', 181L]",1
MX5-P650RE-101,"['bestbuy', 1024L]",1
MMGG2HN/A,"['flipkart', 233L, 'flipkart', 266L]",2
UX330UA-DS74,"['amazon', 33L, 'staples', 2L, 'newEgg', 34L]",3
X555QA-BB10-CB,"['bestbuy', 12L]",1
Lenovo Thinkpad T440,"['bestbuy', 316L]",1
J9M95UA#ABL,"['amazon', 850L, 'amazon', 854L]",2
UX360CA-C4150T,"['flipkart', 16L]",1
PS481C-00E00K,"['bestbuy', 1140L]",1
"10.1"" IPS WUXGA TZ3775 2GB","['newEgg', 1668L]",1
Z9G23UA#ABL,"['amazon', 424L]",1
MLH42/MLA02,"['amazon', 729L]",1
SF314-52-55J4,"['bestbuy', 257L]",1
UX510UX-BB71-CB,"['bestbuy', 231L]",1
"Lenovo ThinkPad T470s 20HF003QUS 14"" LCD Notebook - Intel Core i7 (7th Gen) i7-7600U Dual-core (2 Core) 2.80 GHz - 12 GB DDR4 SDRAM - 512 GB SSD - Windows 10 Pro 64-bit (English) - 2560 x 1440 - In...","['newEgg', 2480L]",1
"CUK Asus 15-inch Gaming Laptop (i7-7700HQ, 16GB RAM, Intel 256GB SSD NVMe + 1TB HDD, NVIDIA GTX 1060 3GB, 15.6"" FHD, Windows 10) - 2017 Oculus Rift Compatible Notebook Computer for Gamers","['amazon', 986L]",1
W2N37UA#ABA,"['amazon', 97L]",1
17-X108CA,"['bestbuy', 165L]",1
SWM12035,"['bestbuy', 659L]",1
ProBook 6360b,"['bestbuy', 210L]",1
510-15IKB (80SV0059US),"['newEgg', 2L]",1
K556UA-Q52K-CB,"['bestbuy', 370L]",1
MLL42LL/A,"['bestbuy', 71L, 'bestbuy', 152L, 'newEgg', 12L]",3
"ASUS ROG Strix GL753VE Premium 17.3'' Business and Gaming Laptop PC ( Intel i7 Quad Core, 32GB RAM, 1TB HDD + 256GB SSD, 17.3 Inch FHD (1920X1080), NVIDIA GeForce 1050Ti, DVD Burner, WiFi, Win 10 Pro)","['newEgg', 841L]",1
"ASUS 15.6"" Republic of Gamers Strix GL553VD Notebook (Intel i7 Quad Core, 16GB RAM, 1TB HDD + 512GB SSD, 15.6 Inch FHD (1920X1080), NVIDIA GeForce GTX 1050, DVD Burner, WiFi, Win 10 Home)","['newEgg', 758L, 'newEgg', 924L]",2
"PlayStation VR Start Bundle 10 Items:VR Start Bundle PS4 Pro 1TB,6 VR Game Disc Until Dawn: Rush of Blood,EVE: Valkyrie, Battlezone,Batman: Arkham VR,DriveClub,Battlezone Battle(US Version, Imported)","['amazon', 727L]",1
L0Q13UA#ABL,"['amazon', 1131L]",1
1UH09UA#ABL,"['bestbuy', 256L]",1
i3552-4042BLK,"['newEgg', 58L]",1
1EL99UA#ABL,"['amazon', 17L]",1
DELL LATITUDE 7480 14 FHD TOUCH,"['newEgg', 1244L]",1
"Acer Laptop Aspire E5-553G-1986 AMD A12-Series A12-9700P (2.50 GHz) 8 GB DDR4 Memory 128 GB SSD AMD Radeon R7 M440 15.6"" Windows 10 Home","['newEgg', 2472L]",1
SP714-51-M5H3,"['bestbuy', 120L, 'amazon', 342L]",3
XPS9360-7758SLV-PUS,"['bestbuy', 1344L]",1
ES1-572-33M8,"['snapdeal', 121L]",1
80NW0034US,"['source', 189L]",1
HP 640 G1,"['bestbuy', 53L, 'bestbuy', 54L]",2
"HP OMEN 17 17.3'' UHD 4K Gaming and Business Laptop (Intel i7 Quad Core, 2TB HDD +512GB SSD, 17.3 inch UHD 3840 x 2160, 16GB RAM, GeForce GTX 1050 Ti , Win 10 Pro)","['newEgg', 855L]",1
GS43VR 7RE-072CA,"['bestbuy', 617L, 'bestbuy', 713L]",2
ES1-523-20DG,"['snapdeal', 28L]",1
Velocity Micro NoteMagix M15 Laptop Intel Core i7-4710MQ 8GB DDR3-1600 RAM 250GB Crucial BX100 SSD Windows 7,"['newEgg', 1296L, 'newEgg', 1364L]",2
X550ZE-WBFX,"['newEgg', 1597L]",1
15-ay005tx,"['snapdeal', 284L]",1
Toshiba Tecra,"['bestbuy', 253L]",1
Acer Laptop TravelMate P6 TMP648-MG-789T-US Intel Core i7 6th Gen 6500U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940M Windows 7 Professional 64-Bit (Downgrade from Windows 10 Pro),"['newEgg', 691L, 'newEgg', 1166L, 'newEgg', 2029L]",2
"2017 Newest Lenovo Flex 4 Premium High Performance 2-in-1 Flip Convertible 15.6"" FHD Touchscreen Laptop - Intel Core i3-7100U, 2.4GHz, 8GB DDR4, 1TB HDD, HDMI, Bluetooth, 802.11ac, Webcam, Windwos 10","['amazon', 1102L]",1
"DELL Laptop Latitude E5570 (VC0MW) Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB DDR4 Memory 256 GB SSD Intel HD Graphics 520 15.6\"" Windows 7 Professional 64-Bit (Includes Windows 10 Pro License)","['newEgg', 695L, 'newEgg', 1156L]",2
15-BA042AU,"['snapdeal', 148L]",1
SP315-51-34CS,"['amazon', 295L]",1
R5-471T-534X,"['bestbuy', 156L, 'bestbuy', 168L]",2
15-AY503TU (X5Q20PA),"['snapdeal', 137L]",1
Exemplaire,"['snapdeal', 12L]",1
BA007AU,"['snapdeal', 270L]",1
L55-A5226,"['amazon', 933L]",1
PT343C-0YQ01J,"['amazon', 680L]",1
WE62 7RJ-1837CA,"['bestbuy', 650L, 'bestbuy', 1212L]",2
NT.LCDAA.001,"['amazon', 99L, 'amazon', 189L]",2
"ASUS ROG Strix GL753VE Premium 17.3'' Business and Gaming Laptop PC ( Intel i7 Quad Core, 16GB RAM, 2TB SSD, 17.3 Inch FHD (1920X1080), NVIDIA GeForce 1050Ti, DVD Burner, WiFi, Win 10)","['newEgg', 470L, 'newEgg', 1445L]",2
13-c110nr,"['amazon', 1066L]",1
SP315-51-3684,"['bestbuy', 27L]",1
MJY42LL/A,"['newEgg', 2159L]",1
80XC0003US,"['bestbuy', 1081L]",1
GE62 7RD-471CA,"['staples', 68L]",1
MQD42LL/A,"['bestbuy', 28L, 'bestbuy', 342L, 'amazon', 1026L, 'staples', 103L, 'newEgg', 101L]",3
E403NA-Q2S-CB,"['bestbuy', 171L]",1
PT274C-00R004,"['bestbuy', 1393L]",1
TP500LA-DS71T,"['newEgg', 1852L]",1
HP 8GB DDR4 SDRAM Y7B56AT 8GB DDR4 SDRAM,"['newEgg', 648L]",1
"DELL Latitude 3160 Touchscreen Laptop: Intel Pentium N3700 Quadcore 1.6G / 4G DDR3 RAM / 500G / WIFI / HDMI / Webcam / 11.6"" / Windows 10 home","['amazon', 443L]",1
i7559-2512BLK,"['amazon', 245L, 'newEgg', 60L]",3
AW15R3-0012SLV,"['bestbuy', 579L]",1
"DELL Latitude E6220: Intel Core i5 2.5G / 4G DDR3 RAM / 250G Hard Drive / WIFI / Webcam / HDMI / 12.5"" / Windows 7 Professional","['amazon', 652L]",1
15-AY543TU,"['snapdeal', 74L]",1
UX501VW-DS71T,"['bestbuy', 220L, 'staples', 146L]",3
K541UA-Q31RD-CB,"['bestbuy', 1373L]",1
1UG71UA#ABL,"['amazon', 5L]",1
13-D010CA,"['source', 7L]",1
V2W30UT#ABA,"['amazon', 142L]",1
DAG-00008,"['bestbuy', 653L]",1
DAG-00006,"['bestbuy', 379L]",1
DAG-00007,"['bestbuy', 175L, 'amazon', 116L]",3
"HP EliteBook 850 G4 15.6 inch Full HD Premium Business Laptop PC (Intel i5 Kaby Lake Processor, 8GB RAM, 256GB SSD, 15.6 inch FHD 1920x1080 Display, Back-lit Keyboard, Fingerprint Reader, Win 10 Pro)","['newEgg', 1338L]",1
DAG-00005,"['bestbuy', 86L, 'amazon', 108L]",3
DAG-00002,"['bestbuy', 351L, 'staples', 149L]",3
DAG-00003,"['bestbuy', 87L]",1
470 G4 (Z1Z76UT#ABA),"['newEgg', 18L, 'newEgg', 708L, 'newEgg', 1151L]",2
T560 (20FH001TUS),"['newEgg', 147L, 'newEgg', 534L, 'newEgg', 717L, 'newEgg', 1618L, 'newEgg', 2002L, 'newEgg', 2057L, 'newEgg', 2060L]",2
ES1-533-P205,"['bestbuy', 192L]",1
S510UA-RB51,"['bestbuy', 73L, 'newEgg', 1025L]",3
MNYF2LL/A,"['bestbuy', 139L]",1
K3Y87UA#ABA,"['amazon', 807L]",1
G9-792-79VJ,"['amazon', 708L]",1
ZenBook-UX305CA-B,"['newEgg', 1667L]",1
F5-573G,"['snapdeal', 213L]",1
DM539D,"['flipkart', 80L]",1
90NB0B61-M02790,"['newEgg', 1429L]",1
LENOVO-T420S,"['source', 182L]",1
"ASUS ROG G752VS (VR Ready) Premium 17.3'' Gaming Laptop PC ( Intel i7-6700HQ Quad Core, 64GB RAM, 4TB Sata SSD, 17.3 Inch FHD (1920X1080) NVIDIA G-Sync, NVIDIA GeForce GTX 1070 8GB GDDR5, Win 10)","['newEgg', 2502L]",1
1430a,"['snapdeal', 42L]",1
"Dell XPS 13 9360 13.3"" Laptop QHD+ Touchscreen 7th Gen Intel Core i5-7200U, 8GB RAM, 256GB NVME SSD Machined Aluminum Display Silver Win 10 Home","['amazon', 605L]",1
R417NA-RS01-BL,"['newEgg', 53L]",1
MD101LL/A,"['amazon', 137L, 'newEgg', 2182L]",3
"HP ProBook 645 G3 - 14"" - A series A6-8530B - 4 GB RAM - 500 GB HDD","['newEgg', 339L]",1
20H50048CA,"['bestbuy', 954L]",1
TP550LA-QB52T-CB,"['newEgg', 2094L]",1
X4E2-P750DM-130,"['bestbuy', 971L]",1
"HP Bilingual Laptop Pavilion x360 13-u010ca (W7B82UA#ABL) Intel Core i3 6100U (2.30 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 13.3\"" Touchscreen Windows 10 Home","['newEgg', 1759L, 'newEgg', 2092L, 'newEgg', 2212L]",2
X541UA-BH52-CB,"['bestbuy', 72L]",1
Z1Z82UTABA,"['bestbuy', 199L]",1
SF514-51-59HS,"['newEgg', 89L]",1
AW17R4-7345SLV-PUS,"['amazon', 114L]",1
I5378-5656GRY,"['staples', 64L]",1
1NW56UTABL,"['bestbuy', 1593L]",1
PT274C-07K004,"['bestbuy', 1522L]",1
"HP EliteBook 850 G3 15.6-inch High Performance Business Laptop L3D23AV (Intel i7 6500U, 16 GB Memory, 512 GB SSD, 15.6 inch Full HD 1920x1080 Display, Bluetooth 4.0, Windows 10 Pro 64)","['newEgg', 2497L]",1
"New (Android 4.2 - 1gb Ram,4gb hard disk) Solid White 10.1 Inch Android Laptop Netbook Pc, Wifi and Camera with Installed Apps (Includes Mini Pc Mouse),Support SD Card ,Google Play Store,HDMI,White Co","['newEgg', 599L]",1
"ROG G751JY-DB73X 17.3"" 16:9 Notebook - 1920 x 1080 - In-plane Switching (IPS) Technology - Intel Core i7 (4th Gen) i7-4870HQ Quad-core (4 Core) 2.50 GHz - 32 GB DDR3L SDRAM - 1 TB HDD - 512 GB SSD ...","['newEgg', 1996L]",1
"ACER G9-592-73BR,15.6 FHD,WINDOWS 10,CI7 6700HQ,NB CHIPSET HM170,VGA CHIP GTX 980,VRA","['newEgg', 716L, 'newEgg', 2064L, 'newEgg', 2289L, 'newEgg', 2418L]",2
GS43VR 7RE072CA,"['staples', 164L]",1
X7V55UA#ABL,"['amazon', 190L]",1
NX.VA1AA.007;TMB115-M-C99B,"['amazon', 248L]",1
3105M,"['staples', 63L]",1
THINKPAD T430,"['staples', 37L]",1
MPXY2C/A,"['bestbuy', 760L]",1
20GQ000EUS,"['bestbuy', 333L]",1
X541UA-SB51-CB,"['staples', 0L]",1
46G0N,"['bestbuy', 1157L]",1
UX330UA-AH5Q,"['amazon', 194L]",1
V1H59UT#ABA,"['newEgg', 770L]",1
4236D84,"['amazon', 119L, 'amazon', 331L]",2
WE627RJ1837CA,"['staples', 361L]",1
15-ay516tx,"['snapdeal', 76L]",1
13-V122TU,"['flipkart', 28L]",1
PROBOOK 6470B,"['staples', 131L]",1
MSI GE72MVR APACHE PRO-001 I7-7700,"['newEgg', 732L]",1
Dell Latitude E6430,"['bestbuy', 241L]",1
T102HA-QC2-CB,"['bestbuy', 67L, 'bestbuy', 206L]",2
Asus NB FX53VD-Q52-CB 15.6 i5-7300HQ 12G 1TB GTX1050 W10 Retail,"['newEgg', 113L]",1
"Everki Commute 11.6"" Sleeve with Memory Foam","['walmart', 96L]",1
F1M30UT#ABA,"['source', 40L]",1
"DELL 14"" I5 7300U 8GB 256GB","['newEgg', 403L, 'newEgg', 1293L, 'newEgg', 1294L, 'newEgg', 1388L]",2
"Lenovo 20HD004AUS Thinkpad T470 20Hd - Core I5 7300U / 2.6 Ghz - Win 10 Pro 64-Bit - 8 Gb Ram - 500 Gb Hdd - 14 Inch 1366 X 768 (Hd) - Hd Graphics 620 - Wi-Fi, Bluetooth - Wwan Upgradable - Black","['newEgg', 116L]",1
MMGG2LL/A,"['amazon', 643L, 'newEgg', 14L]",3
"HP 15-bw000 15-bw064nr 15.6"" LCD Notebook - AMD A-Series A9-9420 Dual-core (2 Core) 3 GHz - 4 GB - 1 TB HDD - Windows 10 Home - Red - Bluetooth - IEEE 802.11b/g/n - Gigabit Ethernet - Network (RJ","['newEgg', 1042L]",1
MD508LL/A,"['newEgg', 1847L, 'newEgg', 1975L]",2
"ASUS ROG GL552VW-SB71-CB  15.6"" Gaming Laptop","['walmart', 61L]",1
15-be005TU (X5Q17PA),"['snapdeal', 199L]",1
FX53VD-BS51-CB,"['bestbuy', 135L, 'bestbuy', 211L]",2
80WG0001US,"['amazon', 125L]",1
15-ac124TX (N8M29PA),"['snapdeal', 219L]",1
"V7 16"" Vantage Laptop Case Sleeve","['walmart', 24L]",1
GL553VD-FY103T,"['flipkart', 143L]",1
15-AY089TU (X3C64PA),"['snapdeal', 135L]",1
x360 11-u006tu,"['snapdeal', 235L]",1
"Acer SP513-51-51VX;NX.GK4AA.014 13.3"" Intel Core I5-7200u 2.50 Ghz 256 Gb Ssd 1920 X 1080 Notebook","['newEgg', 288L]",1
ELITEBOOK 8460P,"['staples', 123L]",1
"Everki Beacon Notebook Backpack - 18in, Black","['walmart', 177L]",1
s102Tu,"['snapdeal', 142L]",1
A1286,"['amazon', 579L]",1
Lenovo T430,"['bestbuy', 119L, 'bestbuy', 329L]",2
"ASUS Laptop Zenbook UX390UA-DH51-GR Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 12.5"" Windows 10 Home 64-Bit","['newEgg', 2514L]",1
Everki Tempo Ultrabook/MacBook Air Bag - 13.3in,"['walmart', 83L]",1
UX390UA-QENT2S-CB,"['newEgg', 85L]",1
80XC0004US,"['bestbuy', 1107L]",1
80X60030US,"['bestbuy', 1151L]",1
"Lenovo Ideapad 310 15.6"" Touchscreen Laptop Intel i5-7200U | 12GB RAM | 1TB HDD | DVD-RW | Win 10","['amazon', 74L]",1
UX310UA-Q52SP-CB,"['bestbuy', 1294L]",1
MPXY2LL/A,"['bestbuy', 561L]",1
PANASONIC CF-30 MK2 TOUCHSCREEN GPS 4GB 1TB,"['amazon', 1074L]",1
ISTR28340,"['bestbuy', 986L]",1
ab522TX,"['snapdeal', 198L]",1
UX390UA-DH51-GR,"['amazon', 211L]",1
W7E04UA#ABL,"['amazon', 305L]",1
V2W05UT#ABA,"['amazon', 525L]",1
"Lenovo ThinkPad X1 Yoga 20FQ0057US 14"" Touchscreen (In-plane Switching (IPS) Technology) 2 in 1 Ultrabook - Intel Core i7 (6th Gen) i7-6500U Dual-core (2 Core) 2.50 GHz - Business Black","['newEgg', 287L, 'newEgg', 385L, 'newEgg', 2501L]",2
PS57BC-02L010,"['bestbuy', 1454L]",1
"Dell Laptop Latitude E6420 14"" i7 2760QM NVS 4200M 4GB RAM 500GB HD Windows 7","['amazon', 824L]",1
NX.VCGAA.002,"['bestbuy', 1198L]",1
"HP ProBook 6570b Laptop, 15.6"" Display, Intel Core i5, 8GB RAM, 320GB HDD","['newEgg', 2225L]",1
"ASUS ROG Strix GL753VE Premium 17.3'' Business and Gaming Laptop PC ( Intel i7 Quad Core, 32GB RAM, 2TB SSD, 17.3 Inch FHD (1920X1080), NVIDIA GeForce 1050Ti, DVD Burner, WiFi, Win 10 Pro)","['newEgg', 464L, 'newEgg', 1449L]",2
X541UA-BH51-CB,"['bestbuy', 554L]",1
"Dell Latitude 15 5000 e5570 15.6\"" (In-plane Switching (IPS) Technology) Notebook - Intel Core i5 (6th Gen) i5-6300U Dual-core (2 Core) 2.40 GHz","['newEgg', 1170L, 'newEgg', 1173L, 'newEgg', 2078L, 'newEgg', 2292L, 'newEgg', 2305L, 'newEgg', 2421L, 'newEgg', 2424L]",2
HP SMART BUY MT43 MOBILE THIN,"['newEgg', 626L]",1
L55,"['amazon', 250L]",1
"HP Elitebook X360 1030 G2 13.3"" Flip Design Notebook, Windows, Intel Core i7 2.9 GHz, 8 GB RAM, 512 GB SSD , Silver (1BS99UT#ABA","['newEgg', 1005L]",1
Asus NB X541NA-QP2ST-CB 15.6 Pentium N4200 4GB 256G SSD Intel HD W10 Retail,"['newEgg', 445L, 'newEgg', 721L]",2
"Dell Latitude D510 Laptop 1.73ghz Processor, 1gb Ram, 40gb Hard Drive","['amazon', 690L]",1
W7B82UA#ABL,"['amazon', 246L, 'staples', 156L]",3
UX330UA-AH54,"['amazon', 16L]",1
S510UA-RB851,"['source', 14L]",1
